,BC_Run_State,EquipCode,Equip_Work_Time_Total,bc1174,bc120,bc124,bc125,bc1304,bc_total_consumption,time
49,0.0,19BC52303373,0.03,56.0,26.0,0.0,0.0,0.0,,2019-08-12T17:58:34+08:00
50,0.0,19BC52303373,0.03,56.0,39.0,0.0,0.0,0.0,,2019-08-12T17:58:35+08:00
51,0.0,19BC52303373,0.03,56.0,39.0,0.0,0.0,0.0,,2019-08-12T17:58:36+08:00
52,0.0,19BC52303373,0.03,56.0,39.0,0.0,0.0,0.0,,2019-08-12T17:58:37+08:00
53,0.0,19BC52303373,0.03,56.0,52.0,0.0,0.0,0.0,,2019-08-12T17:58:38+08:00
54,0.0,19BC52303373,0.03,56.0,60.0,0.0,0.0,0.0,,2019-08-12T17:58:39+08:00
55,0.0,19BC52303373,0.03,56.0,104.0,0.0,0.0,0.0,,2019-08-12T17:58:40+08:00
56,0.0,19BC52303373,0.03,56.0,144.0,0.0,0.0,0.0,,2019-08-12T17:58:41+08:00
57,0.0,19BC52303373,0.03,56.0,199.0,0.0,0.0,0.0,,2019-08-12T17:58:42+08:00
58,0.0,19BC52303373,0.03,56.0,0.0,0.0,0.0,0.0,,2019-08-12T18:07:48+08:00
59,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:07:50+08:00
60,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:07:51+08:00
61,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:09:49+08:00
62,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:09:50+08:00
63,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:09:51+08:00
64,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:11:48+08:00
65,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:11:49+08:00
66,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,9.0,2019-08-12T18:11:50+08:00
67,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:11:51+08:00
68,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:13:48+08:00
69,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:13:49+08:00
