调试在线-数据导出,,,,,,,,,,,
time,GPS纬度,GPS经度,GPS定位时间,液压油温,泵送排量,累计油耗,转向次数,发动机转速,系统压力,累计时间,泵车状态
2019-07-23 07:19:54.11,28.24,113.09,,38,0,10,0,0,0,0.02,0
2019-07-23 07:19:54.50,28.24,113.09,,,,,,,,,
2019-07-23 07:19:54.67,28.24,113.09,,,,,,,,,
2019-07-23 07:19:55.21,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:19:58.22,28.24,113.09,,,,,,,,,
2019-07-23 07:19:58.49,28.24,113.09,,,,,,,,,
2019-07-23 07:19:58.67,28.24,113.09,,,,,,,,,
2019-07-23 07:19:59.17,28.24,113.09,,,,,,,,,
2019-07-23 07:19:59.55,28.24,113.09,,,,,,,,,
2019-07-23 07:20:00.13,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:01.21,28.24,113.09,,,,,,,,,
2019-07-23 07:20:01.86,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:03.19,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:05.61,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:05.61,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:06.43,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:07.37,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:07.81,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:08.23,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:08.87,28.24,113.09,,38,,,,0,0,,
2019-07-23 07:20:09.35,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:09.97,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:10.39,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:10.99,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:12.37,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:13.47,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:14.52,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:15.12,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 07:20:15.87,28.24,113.09,,38,0,,0,0,0,0.02,0
2019-07-23 08:14:49.50,28.24,113.09,,,,,,,,,
2019-07-23 08:14:52.87,28.24,113.09,,,,,,,,,
2019-07-23 08:15:02.62,28.24,113.09,,37,0,10,0,0,0,0.02,0
2019-07-23 08:15:03.03,28.24,113.09,,,,,,,,,
2019-07-23 08:15:03.50,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:04.02,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:04.70,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:04.95,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:05.72,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:06.30,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:07.12,28.24,113.09,,37,,,,0,0,,
2019-07-23 08:15:07.68,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:08.28,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-23 08:15:09.30,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:10.52,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:12.10,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:13.12,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:14.54,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:15.64,28.24,113.09,,37,0,,0,0,0,0.02,0
