调试在线-数据导出,,,,,,,,,,,
time,GPS纬度,GPS经度,GPS定位时间,液压油温,泵送排量,累计油耗,转向次数,发动机转速,系统压力,累计时间,泵车状态
2019-07-28 01:31:56.08,28.24,113.09,,,,,,,,,
2019-07-28 01:31:57.26,28.24,113.09,,,,,,,,,
2019-07-28 01:31:59.80,28.24,113.09,,50,0,2,0,560,0,0,0
2019-07-28 01:31:59.86,28.24,113.09,,,,,,,,,
2019-07-28 01:32:00.42,28.24,113.09,,,,,,,,,
2019-07-28 01:32:01.54,28.24,113.09,,50,0,,0,558,0,0,0
2019-07-28 01:32:02.52,28.24,113.09,,50,0,,0,559,0,0,0
2019-07-28 01:32:03.52,28.24,113.09,,50,0,,0,559,0,0,0
2019-07-28 01:32:04.54,28.24,113.09,,50,0,,0,558,0,0,0
2019-07-28 01:32:05.53,28.24,113.09,,50,0,,0,558,0,0,0
2019-07-28 01:32:06.56,28.24,113.09,,50,0,,0,555,0,0,0
2019-07-28 01:32:07.60,28.24,113.09,,50,0,,0,545,0,0,0
2019-07-28 01:32:08.60,28.24,113.09,,50,0,,0,537,0,0,0
2019-07-28 01:32:09.64,28.24,113.09,,50,0,,0,559,0,0,0
2019-07-28 01:32:10.66,28.24,113.09,,50,0,,0,563,0,0,0
2019-07-28 01:32:11.66,28.24,113.09,,50,0,,0,561,0,0,0
2019-07-28 01:32:12.79,28.24,113.09,,50,,,,565,0,,
2019-07-28 01:32:13.72,28.24,113.09,,50,0,,0,559,0,0,0
2019-07-28 01:32:14.70,28.24,113.09,,,,,,,,,
2019-07-28 01:32:15.72,28.24,113.09,,50,0,,0,561,0,0,0
2019-07-28 01:32:16.76,28.24,113.09,,50,0,,0,559,0,0,0
2019-07-28 01:32:17.76,28.24,113.09,,50,0,,0,560,0,0,0
2019-07-28 01:32:18.78,28.24,113.09,,50,0,,0,575,0,0,0
2019-07-28 01:32:19.82,28.24,113.09,,50,0,,0,571,0,0,0
2019-07-28 01:32:20.82,28.24,113.09,,50,0,,0,564,0,0,0
2019-07-28 01:32:21.82,28.24,113.09,,50,0,,0,568,0,0,0
2019-07-28 01:32:22.86,28.24,113.09,,50,0,,0,578,0,0,0
2019-07-28 01:32:23.88,28.24,113.09,,50,0,,0,568,0,0,0
2019-07-28 01:32:24.92,28.24,113.09,,50,0,,0,555,0,0,0
