调试在线-数据导出,,,,,,,,,,,
time,GPS纬度,GPS经度,GPS定位时间,液压油温,泵送排量,累计油耗,转向次数,发动机转速,系统压力,累计时间,泵车状态
2019-07-29 01:28:13.10,28.24,113.09,,,,,,,,,
2019-07-29 01:29:55.96,,,,,,,,1147,,,
2019-07-29 01:30:15.47,28.23,113.09,,,,,,,,,
2019-07-29 01:38:18.58,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:19.48,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:24.58,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:25.54,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:31.62,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:32.68,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:36.72,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:37.84,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:42.78,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:43.84,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:49.00,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:38:49.94,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:39:19.37,28.24,113.09,,52,0,,0,983,0,0.02,14
2019-07-29 01:39:20.45,28.24,113.09,,52,0,,0,1082,0,0.02,14
2019-07-29 01:39:24.59,28.24,113.09,,52,0,,0,1386,0,0.02,14
2019-07-29 01:39:25.53,28.24,113.09,,52,0,,0,1355,0,0.02,14
2019-07-29 01:39:31.73,28.24,113.09,,52,0,,0,1270,0,0.02,14
2019-07-29 01:39:36.80,28.24,113.09,,52,0,,0,1239,0,0.02,14
2019-07-29 01:39:37.94,28.24,113.09,,,0,,0,1236,,0.02,14
2019-07-29 01:41:19.65,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-29 01:41:20.71,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:41:24.72,28.24,113.09,,53,0,,0,0,0,0.02,0
2019-07-29 01:41:25.68,28.24,113.09,,53,0,,0,0,0,0.02,0
2019-07-29 01:41:30.94,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-29 01:41:31.81,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-29 01:41:36.97,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:41:37.96,28.24,113.09,,53,0,,0,0,0,0.02,0
2019-07-29 01:41:43.04,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:41:44.00,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-29 01:41:48.13,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:41:49.20,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:42:18.82,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:42:19.75,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:42:20.74,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:42:24.96,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:42:25.93,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:42:30.91,28.24,113.09,,,,,,,,,
2019-07-29 01:42:32.02,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:42:32.90,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:44:18.98,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:44:19.96,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:44:24.10,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:44:25.16,28.24,113.09,,52,0,,0,0,0,0.02,0
2019-07-29 01:44:25.34,28.24,113.09,,,,,,,,,
2019-07-29 01:44:31.30,28.24,113.09,,,,,,0,,,
